,Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,staffExperience,writersExperience,directorsExperience,budget,revenue,viewCount,likeCount,dislikeCount,commentCount
92,175595,tt0181852,movie,Terminator 3: Rise of the Machines,Terminator 3: Rise of the Machines,0,2003.0,109.0,"Action,Sci-Fi",40,12,4,200000000,435000000,348224,565,60,76
93,175607,tt0181865,movie,Traffic,Traffic,0,2000.0,147.0,"Crime,Drama,Thriller",40,8,4,48000000,207515725,349511,509,48,43
94,175617,tt0181875,movie,Almost Famous,Almost Famous,0,2000.0,122.0,"Adventure,Comedy,Drama",40,4,4,60000000,47383689,166509,1268,30,52
95,175716,tt0181984,movie,Boiler Room,Boiler Room,0,2000.0,120.0,"Crime,Drama,Thriller",40,4,4,26000000,28780255,251317,524,18,34
96,177127,tt0183505,movie,"Me, Myself & Irene","Me, Myself & Irene",0,2000.0,116.0,Comedy,40,12,8,51000000,149270999,4635887,250293,7656,18310
97,177145,tt0183523,movie,Mission to Mars,Mission to Mars,0,2000.0,114.0,"Adventure,Sci-Fi,Thriller",37,13,4,90000000,60874615,0,0,0,0
98,177260,tt0183649,movie,Phone Booth,Phone Booth,0,2002.0,81.0,"Crime,Thriller",40,4,4,13000000,97837138,0,0,0,0
99,177390,tt0183790,movie,A Knight's Tale,A Knight's Tale,0,2001.0,132.0,"Action,Adventure,Romance",40,4,4,65000000,117487473,0,0,0,0
100,178394,tt0184858,movie,Reindeer Games,Reindeer Games,0,2000.0,104.0,"Action,Adventure,Crime",40,4,4,42000000,32168970,0,0,0,0
101,178428,tt0184894,movie,Shanghai Noon,Shanghai Noon,0,2000.0,110.0,"Action,Adventure,Comedy",37,8,4,55000000,56932305,0,0,0,0
102,179510,tt0186045,movie,Drowning Mona,Drowning Mona,0,2000.0,96.0,"Comedy,Crime,Mystery",40,4,4,16000000,15427192,0,0,0,0
103,179605,tt0186151,movie,Frequency,Frequency,0,2000.0,118.0,"Crime,Drama,Mystery",40,4,4,31000000,68106245,0,0,0,0
104,179989,tt0186566,movie,Space Cowboys,Space Cowboys,0,2000.0,130.0,"Action,Adventure,Thriller",40,8,4,65000000,128884132,0,0,0,0
105,180012,tt0186589,movie,Sugar & Spice,Sugar & Spice,0,2001.0,81.0,"Comedy,Crime",37,1,4,11000000,13276953,0,0,0,0
106,180302,tt0186894,movie,Bounce,Bounce,0,2000.0,106.0,"Drama,Romance",40,4,4,35000000,36779296,0,0,0,0
107,180759,tt0187393,movie,The Patriot,The Patriot,0,2000.0,165.0,"Action,Drama,History",40,4,4,135000000,215294342,0,0,0,0
