,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,staffExperience,writersExperience,directorsExperience,budget,revenue
3338603,tt2109184,movie,Paranormal Activity 4,Paranormal Activity 4,0,2012.0,88.0,"Horror,Mystery,Thriller",38,12,8,5000000,142817992
3338667,tt2109248,movie,Transformers: Age of Extinction,Transformers: Age of Extinction,0,2014.0,165.0,"Action,Adventure,Sci-Fi",40,4,4,210000000,245500000
3346623,tt2117824,movie,Beautiful,Beautiful,0,2006.0,60.0,Drama,28,4,4,1500000,56000
3348707,tt2120120,movie,Pixels,Pixels,0,2015.0,105.0,"Action,Comedy,Fantasy",40,12,4,88000000,243637091
3353588,tt2125435,movie,Beasts of the Southern Wild,Beasts of the Southern Wild,0,2012.0,93.0,"Adventure,Drama,Fantasy",39,8,4,1800000,21107746
3354492,tt2126355,movie,San Andreas,San Andreas,0,2015.0,114.0,"Action,Adventure,Drama",40,12,4,110000000,470490832
3354499,tt2126362,movie,Stitches,Stitches,0,2012.0,86.0,"Comedy,Horror",40,8,4,100000,95000
3354537,tt2126400,movie,Unfinished Business,Unfinished Business,0,2011.0,107.0,"Drama,Family",11,2,2,35000000,14431253
3360175,tt2132285,movie,The Bling Ring,The Bling Ring,0,2013.0,90.0,"Biography,Crime,Drama",38,8,4,15000000,19145732
3361028,tt2133191,movie,Beautiful,Beautiful,0,2011.0,120.0,"Biography,Drama,Family",40,4,4,1500000,56000
3367696,tt2140373,movie,Saving Mr. Banks,Saving Mr. Banks,0,2013.0,125.0,"Biography,Comedy,Drama",39,8,4,35000000,112544580
3367702,tt2140379,movie,Self/less,Self/less,0,2015.0,117.0,"Action,Mystery,Sci-Fi",40,8,4,26000000,30523226
3372862,tt2145909,movie,The Forgotten,The Forgotten,0,2014.0,89.0,Horror,38,8,4,42000000,117575636
3382917,tt2157059,movie,The Samaritan,The Samaritan,0,2011.0,74.0,"Crime,Drama,Thriller",20,4,4,12000000,2521
3385610,tt2159988,movie,The Walk,The Walk,0,2015.0,89.0,"Crime,Thriller",18,4,4,35000000,61181942
3391803,tt2167202,movie,Getaway,Getaway,0,2013.0,90.0,"Action,Crime,Thriller",40,8,4,18000000,10501938
3393334,tt2168910,movie,Cocktail,Cocktail,0,2012.0,146.0,"Comedy,Drama,Romance",38,6,4,20000000,171504781
3394555,tt2170299,movie,Bad Words,Bad Words,0,2013.0,89.0,"Comedy,Drama",40,4,4,9500000,7800000
3394679,tt2170439,movie,Horrible Bosses 2,Horrible Bosses 2,0,2014.0,108.0,"Comedy,Crime",39,19,4,42000000,106645357
3394812,tt2170593,movie,St. Vincent,St. Vincent,0,2014.0,102.0,"Comedy,Drama",40,4,4,13000000,54837234
3395951,tt2171867,movie,Empire State,Empire State,0,2013.0,94.0,"Crime,Drama,Thriller",38,3,3,11000000,3639345
3399305,tt2175671,movie,Ghost,Ghost,0,2012.0,118.0,Horror,31,4,4,22000000,505000000
3399829,tt2176244,movie,The Messenger,The Messenger,0,2012.0,74.0,Drama,22,3,3,6500000,1521261
3401167,tt2177771,movie,The Monuments Men,The Monuments Men,0,2014.0,118.0,"Comedy,Drama,History",40,16,4,70000000,154984035
3402349,tt2179136,movie,American Sniper,American Sniper,0,2014.0,133.0,"Action,Biography,Drama",34,13,4,58800000,542307423
3403488,tt2180411,movie,Into the Woods,Into the Woods,0,2014.0,125.0,"Adventure,Comedy,Drama",40,4,4,50000000,212902372
3404855,tt2181931,movie,English Vinglish,English Vinglish,0,2012.0,134.0,"Comedy,Drama,Family",36,4,4,2840000,11620000
3405216,tt2182346,movie,Trust,Trust,0,2003.0,117.0,"Crime,Drama",20,6,4,9500000,120000
3405801,tt2182972,movie,Song One,Song One,0,2014.0,86.0,"Drama,Music",40,4,4,6000000,32251
3405856,tt2183034,movie,Earth to Echo,Earth to Echo,0,2014.0,91.0,"Adventure,Family,Sci-Fi",40,8,4,13000000,45300000
3407018,tt2184339,movie,The Purge,The Purge,0,2013.0,85.0,"Horror,Thriller",40,4,4,3000000,89328627
3409386,tt2186993,movie,Once Bitten,Once Bitten,0,2012.0,46.0,Thriller,16,4,2,3200000,10000000
3411030,tt2188893,movie,Staying Alive,Staying Alive,0,2012.0,89.0,Drama,36,4,4,22000000,64892670
3411757,tt2189714,movie,Little Monsters,Little Monsters,0,2012.0,107.0,"Crime,Drama,Horror",39,4,4,7000000,793775
3413516,tt2191701,movie,Grown Ups 2,Grown Ups 2,0,2013.0,101.0,Comedy,40,12,4,80000000,246984278
3414863,tt2193215,movie,The Counselor,The Counselor,0,2013.0,117.0,"Crime,Drama,Thriller",40,4,4,25000000,71009334
3418702,tt2197748,movie,Glory,Glory,0,2013.0,71.0,"Comedy,Drama",7,3,3,18000000,26828365
3420295,tt2199571,movie,Run All Night,Run All Night,0,2015.0,114.0,"Action,Crime,Drama",40,4,4,50000000,71561644
3422779,tt2202408,movie,Transcendence,Transcendence,0,2012.0,98.0,Drama,26,4,4,100000000,103039258
3424112,tt2203939,movie,The Other Woman,The Other Woman,0,2014.0,109.0,"Comedy,Romance",40,4,4,40000000,196781193
3428773,tt2209418,movie,Before Midnight,Before Midnight,0,2013.0,109.0,"Drama,Romance",40,16,4,3000000,11176469
3429062,tt2209764,movie,Transcendence,Transcendence,0,2014.0,119.0,"Action,Drama,Sci-Fi",39,3,4,100000000,103039258
3429953,tt2210834,movie,Jimmy P: Psychotherapy Of A Plains Indian,Jimmy P.,0,2013.0,117.0,"Biography,Drama,Thriller",37,17,4,10000000,30283
3439501,tt2221640,movie,Now You See Me,Now You See Me,0,2012.0,98.0,"Drama,Horror,Thriller",10,1,1,75000000,117698894
3441570,tt2223990,movie,Draft Day,Draft Day,0,2014.0,110.0,"Drama,Sport",40,8,4,27000000,28831145
3441579,tt2224004,movie,Sweetwater,Sweetwater,0,2013.0,95.0,"Thriller,Western",40,12,8,7000000,6147
3441600,tt2224026,movie,Home,Home,0,2015.0,94.0,"Adventure,Animation,Comedy",39,11,4,135000000,368871007
